@relation knowledge
@attribute red numeric
@attribute green numeric
@attribute blue numeric
@attribute hue_sin numeric
@attribute hue_cos numeric
@attribute saturation numeric
@attribute value numeric
@attribute vol numeric
@attribute length_1 numeric
@attribute length_2 numeric
@attribute length_3 numeric
@attribute cuboid_length_relation_1 numeric
@attribute cuboid_length_relation_2 numeric
@attribute label_2d {baguette,corny,wlanadapter,dlink,cafetfilter}
@attribute shape numeric
@attribute class {r_containerbox,nor_containerbox}
@data
149,22,20,0.866025,0.5,0.90405,0.584536,0.00878551,0.429841,0.429841,0.0746011,1,5.76186,?,0,r_containerbox
146,19,17,0.809017,0.587785,0.918926,0.576378,0.00852414,0.426942,0.426942,0.0711711,1,5.99881,corny,0,r_containerbox
146,18,16,0.788011,0.615661,0.923925,0.573218,0.00851995,0.430274,0.430274,0.0723668,1,5.94574,wlanadapter,2,r_containerbox
149,22,21,0.87462,0.48481,0.902572,0.58499,0.00867397,0.431637,0.431637,0.073626,1,5.86257,wlanadapter,0,r_containerbox
146,18,16,0.809017,0.587785,0.92437,0.573299,0.00865455,0.428641,0.428641,0.0736745,1,5.81803,corny,0,r_containerbox
146,18,16,0.788011,0.615661,0.924599,0.573483,0.00867233,0.427615,0.427615,0.0736828,1,5.80345,corny,0,r_containerbox
146,18,16,0.798636,0.601815,0.92444,0.573658,0.00856463,0.42512,0.42512,0.0734933,1,5.78447,corny,0,r_containerbox
149,23,21,0.857167,0.515038,0.902293,0.585574,0.00993674,0.431922,0.431922,0.0822002,1,5.25452,corny,0,r_containerbox
147,19,17,0.777146,0.62932,0.918917,0.576692,0.00963434,0.427323,0.427323,0.0806839,1,5.29626,corny,0,r_containerbox
148,21,19,0.829038,0.559193,0.911952,0.580859,0.00960736,0.426557,0.426557,0.0804706,1,5.30078,?,0,r_containerbox
149,22,20,0.866025,0.5,0.905798,0.584449,0.00888503,0.432664,0.432664,0.0750245,1,5.76697,wlanadapter,0,r_containerbox
147,19,18,0.829038,0.559193,0.91747,0.577731,0.00878487,0.425869,0.425869,0.0737177,1,5.77703,corny,0,r_containerbox
146,19,17,0.838671,0.544639,0.920159,0.5764,0.00954976,0.426203,0.426203,0.0808682,1,5.27034,wlanadapter,0,r_containerbox
147,20,18,0.819152,0.573576,0.916802,0.577511,0.00868434,0.430301,0.430301,0.0734001,1,5.8624,corny,0,r_containerbox
146,18,16,0.777146,0.62932,0.922777,0.574385,0.00868456,0.425836,0.425836,0.0738183,1,5.76871,corny,0,r_containerbox
146,18,16,0.809017,0.587785,0.92265,0.574023,0.00850591,0.429659,0.429659,0.0725899,1,5.91899,baguette,0,r_containerbox
149,22,20,0.848048,0.529919,0.90561,0.584584,0.0085986,0.43079,0.43079,0.0720719,1,5.97723,?,0,r_containerbox
146,18,16,0.829038,0.559193,0.923715,0.574124,0.00859424,0.427847,0.427847,0.0736659,1,5.80793,corny,0,r_containerbox
149,22,20,0.848048,0.529919,0.905342,0.584992,0.00895976,0.436556,0.436556,0.0749589,1,5.82394,corny,0,r_containerbox
148,21,19,0.866025,0.5,0.911264,0.58117,0.00967907,0.43203,0.43203,0.0818951,1,5.27541,corny,0,r_containerbox
146,18,16,0.777146,0.62932,0.925101,0.572735,0.00846696,0.427384,0.427384,0.0736322,1,5.80431,wlanadapter,0,r_containerbox
146,18,16,0.809017,0.587785,0.922438,0.574076,0.00836408,0.432877,0.432877,0.0713917,1,6.06341,corny,0,r_containerbox
148,21,19,0.829038,0.559193,0.909496,0.582258,0.00852878,0.430348,0.430348,0.0723839,1,5.94536,baguette,0,r_containerbox
148,22,20,0.848048,0.529919,0.906067,0.584215,0.00878544,0.429421,0.429421,0.0747281,1,5.74645,corny,0,r_containerbox
146,19,17,0.777146,0.62932,0.922126,0.573908,0.00875471,0.426813,0.426813,0.0736331,1,5.79648,corny,0,r_containerbox
146,18,16,0.809017,0.587785,0.923235,0.57416,0.00853525,0.428646,0.428646,0.073555,1,5.82756,corny,0,r_containerbox
148,22,20,0.838671,0.544639,0.906347,0.583561,0.008794,0.429821,0.429821,0.0734784,1,5.84962,corny,0,r_containerbox
149,22,20,0.866025,0.5,0.904112,0.585706,0.00869596,0.430394,0.430394,0.0735471,1,5.85196,?,0,r_containerbox
146,19,17,0.809017,0.587785,0.919223,0.576041,0.00850448,0.42548,0.42548,0.0732289,1,5.81028,wlanadapter,0,r_containerbox
146,19,17,0.809017,0.587785,0.919716,0.575741,0.00857277,0.426088,0.426088,0.073526,1,5.79507,?,0,r_containerbox
146,19,17,0.819152,0.573576,0.919018,0.576345,0.00862573,0.427895,0.427895,0.0736563,1,5.80934,corny,0,r_containerbox
99,80,106,-0.848048,-0.529919,0.489707,0.504106,0.000599452,0.158406,0.0963162,0.0392901,1.64464,4.0317,?,1,nor_containerbox
