@relation knowledge
@attribute red numeric
@attribute green numeric
@attribute blue numeric
@attribute hue_sin numeric
@attribute hue_cos numeric
@attribute saturation numeric
@attribute value numeric
@attribute vol numeric
@attribute length_1 numeric
@attribute length_2 numeric
@attribute length_3 numeric
@attribute cuboid_length_relation_1 numeric
@attribute cuboid_length_relation_2 numeric
@attribute label_2d string
@attribute shape numeric
@attribute class {http://www.suturo.de/ontology/hierarchy#baguette,http://www.suturo.de/ontology/hierarchy#corny}
@data
170,97,75,0.882948,0.469472,0.603671,0.667785,0.00141948,0.202068,0.119017,0.0590234,1.69781,3.42352,dlink,1,http://www.suturo.de/ontology/hierarchy#baguette
170,97,76,0.927184,0.374607,0.600961,0.66784,0.0014692,0.202828,0.119963,0.0603818,1.69076,3.3591,wlanadapter,1,http://www.suturo.de/ontology/hierarchy#baguette
170,98,77,0.939693,0.34202,0.595371,0.667956,0.00186827,0.20132,0.139543,0.0665036,1.4427,3.0272,cafetfilter,0,http://www.suturo.de/ontology/hierarchy#baguette
169,96,74,0.913545,0.406737,0.608815,0.66529,0.00137343,0.203204,0.119629,0.0564987,1.69861,3.59661,wlanadapter,0,http://www.suturo.de/ontology/hierarchy#baguette
170,97,76,0.945519,0.325568,0.60457,0.668022,0.0014808,0.20292,0.119673,0.0609786,1.69562,3.32773,dlink,1,http://www.suturo.de/ontology/hierarchy#baguette
169,95,73,0.945519,0.325568,0.612706,0.663869,0.00134595,0.202582,0.119131,0.0557703,1.7005,3.63244,cafetfilter,1,http://www.suturo.de/ontology/hierarchy#baguette
169,96,75,0.920505,0.390731,0.605754,0.665072,0.00141379,0.200901,0.122289,0.0575461,1.64283,3.49113,dlink,0,http://www.suturo.de/ontology/hierarchy#baguette
170,97,76,0.951057,0.309017,0.600402,0.668574,0.00150315,0.204626,0.119921,0.0612556,1.70635,3.34053,corny,1,http://www.suturo.de/ontology/hierarchy#baguette
169,97,75,0.939693,0.34202,0.603028,0.66602,0.0017267,0.203106,0.132875,0.0639812,1.52855,3.17446,cafetfilter,1,http://www.suturo.de/ontology/hierarchy#baguette
169,97,75,0.920505,0.390731,0.601747,0.667293,0.00164172,0.201041,0.125866,0.0648792,1.59726,3.09869,cafetfilter,0,http://www.suturo.de/ontology/hierarchy#baguette
169,96,74,0.927184,0.374607,0.605887,0.664727,0.00143374,0.202621,0.11881,0.0595568,1.70542,3.40215,cafetfilter,0,http://www.suturo.de/ontology/hierarchy#baguette
170,97,76,0.93358,0.358368,0.599313,0.668981,0.00145784,0.199472,0.119323,0.0612498,1.6717,3.2567,corny,2,http://www.suturo.de/ontology/hierarchy#baguette
170,97,77,0.939693,0.34202,0.599317,0.668482,0.00178719,0.202763,0.124851,0.0705976,1.62404,2.87209,?,0,http://www.suturo.de/ontology/hierarchy#baguette
169,96,75,0.898794,0.438371,0.603394,0.664155,0.00135772,0.201518,0.120293,0.0560091,1.67523,3.59794,cafetfilter,1,http://www.suturo.de/ontology/hierarchy#baguette
169,97,75,0.882948,0.469472,0.599865,0.665938,0.00146068,0.203116,0.120026,0.059915,1.69227,3.39007,wlanadapter,1,http://www.suturo.de/ontology/hierarchy#baguette
170,98,76,0.93358,0.358368,0.598772,0.668142,0.00162958,0.202683,0.121076,0.0664046,1.67401,3.05225,cafetfilter,0,http://www.suturo.de/ontology/hierarchy#baguette
169,96,74,0.927184,0.374607,0.608149,0.666097,0.00136651,0.201897,0.118819,0.0569633,1.6992,3.54434,wlanadapter,1,http://www.suturo.de/ontology/hierarchy#baguette
169,97,76,0.913545,0.406737,0.601922,0.667434,0.00156806,0.208887,0.11967,0.0627289,1.74552,3.32999,cafetfilter,1,http://www.suturo.de/ontology/hierarchy#baguette
170,98,77,0.939693,0.34202,0.597258,0.671171,0.00167715,0.202497,0.12832,0.0645443,1.57806,3.13733,wlanadapter,1,http://www.suturo.de/ontology/hierarchy#baguette
170,98,76,0.920505,0.390731,0.600077,0.670614,0.00152715,0.202376,0.120323,0.0627152,1.68194,3.22691,baguette,1,http://www.suturo.de/ontology/hierarchy#baguette
170,97,76,0.906308,0.422618,0.600937,0.667391,0.00145026,0.202663,0.120009,0.0596295,1.68873,3.3987,cafetfilter,1,http://www.suturo.de/ontology/hierarchy#baguette
