@relation knowledge
@attribute red numeric
@attribute green numeric
@attribute blue numeric
@attribute hue_sin numeric
@attribute hue_cos numeric
@attribute saturation numeric
@attribute value numeric
@attribute vol numeric
@attribute length_1 numeric
@attribute length_2 numeric
@attribute length_3 numeric
@attribute cuboid_length_relation_1 numeric
@attribute cuboid_length_relation_2 numeric
@attribute label_2d {baguette,corny,wlanadapter,dlink,cafetfilter}
@attribute shape numeric
@attribute class {baguette,corny,dlink,lion,milka,pringles,rubix,teabox}
@data
99,114,121,0.241922,-0.970296,0.281311,0.510437,0.00258751,0.225934,0.225934,0.102237,1,2.2099,wlanadapter,0,rubix
101,115,123,0.224951,-0.97437,0.279736,0.516048,0.00259651,0.247865,0.247865,0.0959708,1,2.58272,?,0,rubix
100,116,124,0.258819,-0.965926,0.28602,0.519988,0.00231232,0.235869,0.235869,0.0889774,1,2.65089,?,0,rubix
100,116,124,0.309017,-0.951057,0.286642,0.520497,0.00274185,0.243295,0.243295,0.101942,1,2.38661,?,0,rubix
101,116,124,0.258819,-0.965926,0.28346,0.519852,0.00242735,0.238052,0.238052,0.0933826,1,2.54922,?,0,rubix
101,116,124,0.224951,-0.97437,0.279588,0.520945,0.00252776,0.247599,0.247599,0.0915942,1,2.70322,wlanadapter,0,rubix
102,117,126,0.275637,-0.961262,0.283715,0.525879,0.00260002,0.251427,0.251427,0.092979,1,2.70412,wlanadapter,0,rubix
99,115,123,0.275637,-0.961262,0.281863,0.514254,0.00232751,0.226149,0.226149,0.0927336,1,2.43869,?,0,rubix
101,117,126,0.190809,-0.981627,0.277943,0.52311,0.00238889,0.244947,0.244947,0.0871509,1,2.8106,wlanadapter,0,rubix
100,116,125,0.190809,-0.981627,0.286823,0.522277,0.00237836,0.241797,0.241797,0.0878181,1,2.75338,?,0,rubix
100,116,124,0.258819,-0.965926,0.289466,0.520015,0.00244083,0.245365,0.245365,0.089384,1,2.74506,wlanadapter,2,rubix
100,115,124,0.173648,-0.984808,0.282633,0.518704,0.00242499,0.240282,0.240282,0.0907077,1,2.64897,wlanadapter,0,rubix
100,115,124,0.241922,-0.970296,0.282113,0.517069,0.00253118,0.24875,0.24875,0.090807,1,2.73933,?,0,rubix
101,117,125,0.275637,-0.961262,0.283529,0.524093,0.0030473,0.265755,0.265755,0.0965038,1,2.75383,?,0,rubix
100,117,125,0.241922,-0.970296,0.289389,0.524013,0.00265033,0.259782,0.259782,0.0896737,1,2.89697,corny,0,rubix
100,115,124,0.190809,-0.981627,0.28139,0.518462,0.00226447,0.229763,0.229763,0.0883821,1,2.59965,?,2,rubix
100,116,124,0.241922,-0.970296,0.287339,0.520305,0.00267866,0.251638,0.251638,0.0858586,1,2.93084,?,2,rubix
102,116,124,0.275637,-0.961262,0.282142,0.522642,0.00251002,0.248227,0.248227,0.0898274,1,2.76338,wlanadapter,0,rubix
101,116,125,0.241922,-0.970296,0.283354,0.52293,0.00289078,0.25856,0.25856,0.0915055,1,2.82562,?,2,rubix
